"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Danone" 10.22 13.3905 22.776521739 19.365882353 21.805454545 23.06952381 23.744 24.067391304 25.854761905 18.96 11.109545455 7.7973684211 6.2372727273 4.9865 4.0922727273 3.8994736842 3.9145454545 3.1775 2.4809090909 2.5926086957 1.4045 1.2939130435 2.3863636364 2.9444444444 3.8654545455 3.6465 3.8395 3.9376190476 3.1963636364 1.702 1.5952173913 1.2813636364 0.919047619 0.9639130435 1.3738095238 1.5055 1.3336363636 1.4215 1.2033333333 1.1784210526 1.3023809524 1.4580952381 1.5460869565 1.5114285714 1.66 1.647826087 2.3345 3.1552380952 3.2776190476 4.038 4.0382608696 4.197 3.5628571429 3.0909090909 3.0268181818 2.59 2.7322727273 3.0828571429 3.4568181818 3.612173913 4.2823809524 5.0405 4.880952381 4.5752380952 4.4063636364 4.8981818182 4.9895238095 4.9530434783 5.3004545455 5.0252380952 4.9995454545 4.9023809524
"Dassault-A" 57.750952381 54.04047619 52.727391304 60.721111111 65.404545455 67.133333333 72.545 78.182608696 78.054761905 77.665909091 81.093181818 77.184210526 73.615909091 73.245 70.620454545 70.102631579 73.213636364 77.1575 76.988636364 73.541304348 72.035 67.839130435 65.254545455 65.111111111 66.318181818 65.625 67.2975 70.188095238 73.527272727 70.2475 64.117391304 63.354545455 62.411904762 62.315217391 65.99047619 64.075 62.1 56.355 56.302380952 62.4975 59.797619048 60.135714286 59.819565217 61.569047619 65.411363636 65.784782609 64.5575 64.228571429 66.411904762 68.5475 67.843478261 69.785 69.945238095 71.952272727 69.365909091 66.218181818 64.872727273 64.85 67.540909091 67.217391304 69.357142857 72.5875 75.478571429 74.311904762 74.356818182 74.127272727 80.388095238 84.202173913 91.238636364 86.233333333 84.877272727 88.854761905
"Dassault-S" 198.98571429 201.21428571 190.83043478 173.85555556 183.78181818 182.06666667 183.74 193.94090909 199.83333333 198.99090909 205.41363636 211.92105263 214.34090909 214.445 245.80454545 248.07894737 276.74090909 298.18 290.56818182 300.12608696 274.26 279.96521739 314.46818182 309.55555556 317.15 301.425 324.605 363.97142857 387.53636364 364.89 351.87826087 352.74090909 329.8047619 310.1173913 303.1047619 284.82 269.9 240.3 222.565 224.485 242.76190476 267.47619048 268.89565217 271.74285714 283.65909091 295.96086957 326.185 318.66666667 340.10952381 375.875 399.17391304 412.79 394.66666667 409.15 424.88636364 421.7 418.55 422.81904762 428.05909091 435.16521739 462.36666667 517.375 526.9047619 501.57619048 503.93181818 543.45454545 544.23809524 554.58695652 546.75 566.4047619 555.56818182 571.16666667
"DE0008469008" 63.138095238 92.816666667 103.79565217 79.541666667 78.854545455 91.038095238 100.2575 89.506521739 94.264285714 83.061363636 84.731818182 79.7 71.15 61.7575 53.109090909 50.246315789 55.356818182 50.264 41.863181818 46.795652174 36.964 40.19 50.674545455 54.233333333 54.886363636 51.1825 55.1325 52.055238095 46.826363636 41.883 38.100869565 31.96 25.972857143 19.67173913 25.23952381 23.235 22.580909091 21.6515 21.746666667 22.984 27.174761905 30.081428571 30.193913043 30.438571429 33.297272727 35.163913043 36.1095 36.337619048 36.803333333 36.0535 33.027826087 34.273 34.702380952 37.13 36.685909091 35.806818182 36.780454545 39.75952381 39.200909091 37.873913043 37.064285714 35.981 35.410952381 35.276190476 37.595909091 39.202727273 41.121428571 39.974347826 41.159090909 42.725238095 44.870909091 47.511904762
"Delachaux" 6922.5771429 7486.5771429 7814.4682609 7365.0894444 7196.0918182 7198.6845455 7179.127619 7226.4031818 7045.5104762 6706.5619048 6846.1631818 6476.0757895 6547.2077273 6492.78 5934.6186364 5942.7026316 6160.5909091 6029.7438095 5846.9213636 5480.0618182 4417.566875 4564.2513043 4932.0131818 5064.1029412 5151.7045455 4898.6235 5304.09 5217.1914286 4950.0686364 4449.0385 4031.1326087 3686.4963636 3273.2080952 2950.5408696 3217.3514286 3142.6372222 2929.6554545 2620.776 2494.9509524 2765.8975 2920.6680952 3169.3033333 3324.6873913 3451.1971429 3517.8913636 3483.2430435 3720.6795 3857.8926316 4075.1566667 4068.6145 3928.3117391 4033.0185 3871.3166667 3981.7395455 3892.2395455 3765.3063636 3903.8736364 3959.7861905 4107.9277273 4214.2040909 4242.7152381 4342.0015 4353.8209524 4299.932381 4322.24 4564.2328571 4716.0285714 4886.4195652 4940.1590909 4955.9904762 5086.4409091 5332.4766667
"Delta-Plus" 29.624444444 30.247777778 31.3625 31.452142857 35.0195 35.308571429 39.028947368 40.836086957 39.620952381 39.932272727 46.586363636 48.240526316 60.304545455 79.59 75.890909091 76.236842105 95.572727273 97.4025 95.15 87.189130435 74.47 59.332608696 57.763636364 66.908333333 75.840909091 81.2775 82.4875 83.676190476 84.318181818 80.775 70.463043478 69.197727273 54.597619048 51.802173913 52.140952381 53.2625 52.354545455 49.781 44.582857143 50.6685 52.797619048 59.573809524 68.984782609 75.797619048 72.543181818 69.265217391 74.4525 73.373809524 79.95 84.1375 94.969565217 93.44 94.085714286 95.720454545 103.43181818 99.775 103.93636364 109.62857143 102.54545455 97.063043478 100.12857143 111.01 112.3 112.99047619 116.88181818 121.84090909 127.04285714 133.98695652 145.95454545 167.37619048 167.42727273 174.91904762
"Desquenne" 20.236666667 19.945714286 18.206086957 19.523529412 19.96 19.1335 18.577222222 18.79875 20.747 19.882727273 19.1795 17.873684211 19.355238095 19.487777778 19.6545 20.2 20.288636364 19.391052632 19.175294118 18.552727273 17.01 16.357391304 17.02 14.808888889 15.307272727 14.5345 14.919 14.93952381 13.450909091 15.2025 15.397391304 15.789047619 14.766666667 14.054782609 14.063333333 13.934210526 13.608095238 12.7735 12.216666667 13.4275 13.949047619 13.768095238 13.762173913 13.563125 13.474545455 14.202173913 14.765555556 15.1405 15.867222222 15.735882353 17.317272727 18.067222222 17.666842105 16.860454545 16.602631579 18.127222222 17.278095238 18.7025 19.479 22.140434783 23.332 25.471 24.63 26.232380952 27.146818182 26.626818182 24.957 25.555652174 26.675909091 28.755238095 28.832727273 29.300952381
"Deveaux" 81.561904762 83.185714286 78 74.758333333 77.988636364 85.219047619 92.97 97.582608696 95.5 91.890909091 94.154545455 87.613157895 95.352272727 94.745 83.831818182 85.810526316 91.245454545 87.1 81.025 76.534782609 60.0855 61.167391304 70.656818182 74.744444444 77.325 67.6025 72.3375 71.585714286 76.170454545 70.46 64.02826087 60.825 56.211428571 43.283043478 48.144285714 47.083 42.94 38.4265 38.258095238 43.057 47.338095238 55.202380952 57.486956522 54.238095238 56.195454545 55.884782609 56.585 62.561904762 64.45952381 66.775 69.682608696 70.705 66.09047619 65.236363636 59.863636364 55.575 58.156818182 59.133333333 62.815909091 64.443478261 65.20952381 66.9675 66.992857143 65.526190476 62.45 64.097727273 68.019047619 71 75.15 76.502380952 80.952272727 82.807142857
"Devernois" 73.65 67.083333333 64.745652174 66.463888889 71.143181818 75.85952381 72.865 73.645652174 74.319047619 74.820454545 80.477272727 81.25 88.056818182 90.285 89.747727273 88.815789474 86.695454545 84.6375 72.081818182 71.706818182 63.865 54.547826087 61.415909091 67.661111111 71.840909091 68.485 72.0175 71.269047619 74.881818182 73.66 68.347826087 69.975 62.657142857 59.810869565 68.045238095 73.4275 74.975 74.085 69.49047619 70.775 74.926190476 76.871428571 77.27173913 80.352380952 80.577272727 83.010869565 84.0625 82.226190476 80.323809524 83.3025 86.380434783 87.06 87.473809524 82.034090909 80.547727273 78.438636364 78.526190476 82.004761905 79.904545455 78.576086957 77.84047619 81.255 81.066666667 78.342857143 77.025 69.765909091 66.480952381 67.523913043 65.322727273 66.435714286 67.038095238 61.683333333
"Dexia" 85.933333333 139.76190476 217.10434783 141.67777778 132.47727273 119.14761905 101.92 92.626086957 114.21904762 95.102272727 79.411904762 61.805263158 57.506818182 70.455 52.451363636 49.852105263 52.014090909 38.9095 24.708636364 20.422608696 15.81 20.180434783 19.740454545 18.407222222 17.93 19.4255 23.1555 22.93047619 17.694545455 12.281 11.006956522 9.6472727273 5.4985714286 3.84 6.7366666667 5.8745 4.9531818182 4.104 3.5819047619 3.8715 4.4857142857 5.0842857143 5.0160869565 5.0214285714 6.8663636364 6.8169565217 9.12 8.5747619048 9.7442857143 11.071 10.669565217 10.385 10.448095238 10.840454545 11.404545455 11.355909091 11.265 12.117619048 13.026818182 12.543478261 14.44952381 16.55 17.121904762 16.796190476 16.697727273 16.99 16.923809524 18.779565217 21.036363636 20.538571429 20.587272727 20.879047619
"Dexia-Strip" 14.497619048 14.268095238 14.129565217 14.424444444 14.426363636 15.241904762 15.819 15.93 15.861904762 17.028181818 18.121363636 18.884736842 18.369545455 17.9275 17.463181818 16.946315789 17.934090909 17.951 18.390454545 17.320869565 15.837 17.152173913 17.090454545 15.407222222 16.127272727 16.715 17.0135 17.704285714 17.985 15.522 13.79826087 13.345 11.525714286 9.8843478261 10.982380952 11.824 11.065 9.5275 8.55 9.728 10.874285714 11.44952381 11.37 11.89952381 12.385909091 13.328695652 13.3105 13.212380952 14.246666667 14.591 14.356086957 14.2055 13.491428571 13.876363636 13.551818182 13.87 14.815454545 15.586666667 16.106363636 16.79 17.253809524 17.645 17.971428571 18.266666667 17.899090909 18.028181818 18.387142857 18.323043478 18.122272727 18.305238095 18.372272727 19.036190476
"Didot-Bottin" 9.7928571429 9.409047619 12.498695652 10.613333333 9.8072727273 10.091904762 9.276 9.2817391304 11.813809524 10.951818182 10.13 10.622105263 11.527727273 12.774 11.384545455 12.362631579 13.863636364 12.5475 13.843181818 13.390869565 11.2775 11.913478261 11.970454545 11.795 11.751818182 14.1795 14.0665 16.663809524 16.235454545 15.5135 13.584347826 12.782727273 12.027619048 9.9765217391 8.5123809524 8.361 8.1759090909 4.6457894737 3.2347619048 3.564 4.4733333333 4.4357142857 4.2308695652 4.0315 3.3468181818 3.1882608696 3.4410526316 3.9971428571 4.2425 4.945 4.9190909091 4.8878947368 4.9588888889 4.8938095238 4.919 4.7263157895 5.499047619 6.519047619 6.6877272727 6.7639130435 7.5661904762 7.447 7.0847619048 6.9028571429 5.105 5.5004545455 5.0866666667 4.5973913043 4.3286363636 5.1752380952 4.3681818182 3.8138095238
"Distriborg" 24.666666667 33.694761905 40.923913043 29.080555556 28.409090909 26.013333333 23.905 25.906086957 28.264285714 24.587272727 20.671818182 15.775263158 15.136818182 15.8955 14.795714286 15.544210526 15.249090909 13.738 12.746363636 11.604347826 9.2485 10.358695652 10.352272727 8.5277777778 7.7086363636 7.258 7.3210526316 7.1765 6.2715 4.8445 4.2123809524 4.156875 3.2870588235 2.502173913 2.6242857143 3.3475 5.0155 5.603 5.3694736842 2.9652631579 2.929047619 3.0842105263 2.9833333333 2.7355555556 2.7176190476 2.5785714286 2.7257894737 2.6371428571 2.7064705882 2.929 2.8552380952 2.7315789474 2.7155555556 2.6436842105 2.9323809524 3.1695 3.5359090909 4.7414285714 4.769047619 4.6826086957 5.1476190476 5.8165 6.050952381 6.6714285714 6.9804545455 7.530952381 6.1580952381 5.3818181818 6.1831818182 5.2028571429 4.1142857143 4.1757142857
"Dollfus,Mieg" 4549.1666667 4773.1538095 5064.7886957 4934.3066667 4933.5945455 5003.8409091 4958.92 4951.5 4982.1019048 4822.1695455 4817.6690909 4655.1531579 4498.1131818 4344.63 4012.9022727 4090.3347368 4264.8895455 4123.6019048 3887.2652381 3763.1913636 3284.48875 3442.2485714 3625.25 3611.5257143 3594.4027273 3516.4173684 3654.8126316 3589.9047619 3456.3586364 3103.7705 2789.0486957 2728.3409091 2515.3257143 2466.5126087 2592.9647619 2514.7122222 2383.1733333 2197.7721053 2140.1604762 2285.5715 2300.1085714 2417.8157143 2415.0913043 2475.8538095 2512.7640909 2494.5482609 2559.5525 2605.4315 2716.0290476 2727.0910526 2707.0295652 2754.6115 2684.2585 2714.2086364 2631.9627273 2599.1086364 2683.4572727 2705.027619 2760.2777273 2770.7418182 2792.5990476 2888.742 2889.6619048 2859.4904762 2878.2614286 3013.5514286 3091.25 3140.1278261 3194.8472727 3190.2719048 3271.8668182 3340.5005
"DP-Ambes" 5.5823809524 4.9133333333 4.4608695652 4.6855555556 4.6963636364 4.929047619 5.3835 5.1017391304 4.6166666667 5.3572727273 11.395 15.509473684 14.997272727 15.6245 14.875454545 14.133684211 11.872727273 10.1985 10.051363636 9.6004347826 7.7 7.9926086957 7.69 7.4133333333 7.9868181818 7.237 9.8655 10.041428571 9.0536363636 7.2745 6.3043478261 6.0486363636 5.0152380952 4.1995652174 4.6971428571 5.7035 5.1686363636 4.706 4.4704761905 4.99 4.9233333333 5.1838095238 4.89 5.2014285714 6.6140909091 6.4795652174 6.142 5.5876190476 5.5695238095 6.3005 6.3773913043 5.9255 5.2066666667 5.4013636364 5.28 4.2477272727 4.2804545455 4.1757142857 4.6004545455 4.1039130435 4.129047619 4.3435 4.599047619 4.4538095238 4.1809090909 4.5072727273 4.1528571429 4.0756521739 3.7490909091 4.0228571429 3.6131818182 3.4142857143
"Du-Pareil" 11308.65 10582.105 10449.73913 10949.689474 10589.268182 10588.704545 10656.81 10983.926087 10991.175 10429.540909 10690.371429 10633.31 10677.5 10793.610526 10108.113636 10191.9935 10995.795455 10785.87619 10443.571429 10337.663478 9112.2893333 9210.0908696 9684.0480952 9970.576 9927.817619 9879.7436842 10485.395 10185.41 10080.768636 9523.341 8638.5177273 8687.5540909 8214.388 8012.9265217 8599.552 8552.2895238 8487.7852381 7923.9063158 7971.8457143 8308.9785714 8604.3404762 9091.502381 9143.7422727 9277.6380952 9492.8154545 9659.2613043 9762.2284211 10093.874091 10537.9975 10595.475263 10332.852609 10424.328571 10084.6735 10352.465714 10165.094286 10030.002273 10207.151429 10003.784762 10391.541429 10657.292727 10554.128 10707.603158 10693.774545 10297.518571 10362.642857 10494.884091 10525.7925 10559.651304 10528.128571 10329.857143 10676.266667 10833.441
"Duc" 71.721428571 67.3 57.604347826 56.572222222 54.038636364 49.982380952 42.8675 45.790434783 46.71952381 48.374090909 49.202272727 46.926842105 41.92 39.015 36.008181818 34.773684211 32.983636364 35.4155 29.599090909 26.323478261 19.8595 18.365217391 17.893181818 16.297222222 17.404545455 14.499 12.9675 16.384285714 17.08 18.804 15.723478261 14.710454545 13.565238095 12.900869565 14.167619048 13.5325 13.415909091 13.318 13.348095238 13.1725 11.06 12.30952381 13.008695652 12.94047619 13.638181818 13.376086957 13.497 14.6565 14.467619048 14.7765 15.18173913 15.4415 15.913809524 15.150909091 15.680909091 15.616818182 14.602272727 13.34047619 12.905454545 13.317391304 15.734761905 18.3165 18.984761905 18.152857143 17.834545455 18.039545455 18.198095238 19.240434783 18.737272727 18.768095238 20.81 21.207142857
"Eads" 27.110952381 25.67 24.456086957 24.186666667 25.472727273 27.657619048 28.258 29.700434783 28.552380952 26.609545455 26.843181818 29.858421053 29.396363636 27.5845 26.785454545 27.114736842 26.990454545 25.5925 27.277272727 25.98047619 22.607 22.44 23.433636364 25.574444444 27.082857143 28.208 29.743 28.64952381 28.469047619 28.532 28.657826087 29.337272727 26.131904762 20.455238095 23.655263158 22.376 23.031818182 23.0135 21.290952381 21.961 21.30047619 21.466666667 21.818695652 20.897142857 19.985 18.330869565 18.3365 18.83952381 19.09047619 19.4715 19.465217391 18.1545 17.245238095 16.771363636 16.197272727 15.015909091 14.710909091 12.976190476 13.813636364 16.533913043 17.66 18.4455 17.9 16.74 16.408636364 15.746818182 15.996666667 17.957826087 17.065909091 16.609047619 15.542272727 15.426190476
"Ebizcuss" 21.205714286 20.187619048 19.824782609 20.609444444 21.965 22.82047619 18.924 17.663478261 18.440952381 21.221818182 23.663636364 22.413157895 22.959090909 22.582 21.425454545 20.288947368 21.92 22.9925 22.031363636 20.643913043 14.4065 12.113478261 13.677272727 13.673333333 13.841363636 13.429 16.03 16.064761905 17.030454545 16.0105 15.753913043 15.090454545 12.371904762 10.729130435 11.80952381 11.222 10.221818182 8.8255 7.6795238095 7.743 8.41 10.412857143 12.242608696 14.264761905 14.832272727 15.322173913 17.93 18.96 18.453333333 17.5625 17.816956522 19.628 20.084285714 21.018181818 21.942272727 21.38 21.994090909 22.289047619 23.467727273 22.179130435 22.572857143 23.6495 22.973809524 22.953809524 22.645 24.298636364 26.711428571 27.309130435 28.251818182 28.87952381 29.975 32.515714286
"Eiffage" 81.073809524 97.795238095 161.00869565 164.51111111 203.8 221.24285714 286.565 326.66521739 455.46190476 588.68181818 645.38636364 544.86842105 629.34090909 572.9 369.15 244.51052632 222.54545455 123.6 102.35454545 105.85217391 65.335 64.154347826 73.825 78.022222222 94.1 91.6275 87.8725 72.788095238 67.175 46.823 36.18173913 28.435 15.550952381 11.092608696 11.113809524 15.4555 16.163636364 17.5045 15.081904762 16.6675 29.353333333 37.445238095 37.496086957 37.91047619 43.056818182 42.215652174 40.643 41.147142857 50.432857143 51.5575 46.76173913 46.999 44.966666667 42.934090909 41.030454545 32.125909091 29.369090909 25.39 25.888181818 23.836086957 31.632857143 34.5825 36.83047619 31.335238095 26.332727273 24.254090909 24.674761905 24.635652174 30.695 32.292380952 26.667272727 27.652857143
"Cac-402" 19.738571429 17.063809524 17.370869565 16.721666667 17.032727273 18.060952381 19.009 20.120434783 20.045238095 18.891363636 18.749090909 19.335263158 20.426363636 19.841052632 21.812272727 22.845263158 23.623636364 23.6845 25.3 24.800434783 22.714 23.006521739 21.950454545 22.672222222 24.830909091 26.271 27.3825 28.908095238 31.14 30.6385 28.614782609 25.959090909 26.137142857 24.577391304 25.033809524 24.3265 24.145 22.659 22.295714286 24.413 26.932380952 28.465714286 28.910434783 28.181904762 27.913636364 29.373478261 29.7285 31.062380952 32.823809524 33.2645 39.083478261 42.943 43.742857143 42.510909091 45.269090909 47.923636364 46.790909091 49.516190476 51.452727273 54.33173913 57.944285714 63.307 62.155238095 61.32047619 64.036363636 69.729545455 74.533333333 76.080434783 76.336363636 73.061904762 70.881818182 81.069047619
"Elior" 41.787 41.534736842 44.143913043 44.688571429 44.724375 43.997647059 42.116875 42.89 43.547368421 37.287619048 36.056190476 35.047777778 36.340952381 38.9325 35.638095238 36.14 37.078333333 35.963333333 33.363888889 32.26826087 29.833157895 30.24 33.071111111 34.150555556 35.224545455 36.621052632 37.5525 47.809047619 52.520454545 53.6855 50.910869565 51.747727273 54.361904762 50.441304348 52.942857143 55.476315789 61.497727273 63 65.65952381 69.245 76.630952381 78.569047619 76.27826087 73.078571429 83.022727273 83.763043478 91.745 105.02 105.07142857 106.175 110.18695652 120.65 118.24285714 110.19090909 107.4 106.77272727 108.23636364 106.4952381 105.85909091 104.36086957 108.13809524 112.805 110.62857143 107.98571429 108.65 108.11363636 105.3047619 106.65217391 134.18636364 131.63333333 130.63181818 129.82857143
